Longitude,Latitude,Date,Season,Farm_Size_Hectares,N,P,K,Soil_Type,Cultivated_Crop
75.29948761594986,13.075545202254808,2024-06-06,Zaid,5.248585205307654,97.73393073544496,3.3367255525459716,48.3121252625198,Saline,Spices
91.96809603628803,14.682768929681703,2023-12-06,Zaid,5.918573423399773,24.015275124557256,3.7740724045938867,83.60810151441133,Saline,Oilseeds
92.30857818995096,22.494764827370396,2024-01-20,Rabi,7.571089316146383,63.322640792317664,75.67582744108638,63.65973533968715,Sandy,Fruits
79.55025671439758,15.702824051385143,2024-05-22,Zaid,7.7637045860209195,20.52782298585163,82.4529056105735,10.009161589667382,Clay,Oilseeds
93.53105173719239,30.643399660968463,2024-02-21,Rabi,8.856279957846542,44.63280439049473,71.3865963320337,31.854312252441908,Clay,Tobacco
78.33368826511794,14.558469706657421,2024-02-15,Zaid,0.8539903806446807,61.145870309664375,32.24748049036996,49.083533819236344,Sandy,Mustard
82.05455259139693,13.5290091165072,2024-01-03,Zaid,8.198879508295306,2.9358297215615003,24.264551173659065,11.319055307653114,Clay,Chickpeas
81.57575590453145,30.737764236357883,2024-07-08,Zaid,7.854360508224677,82.11174054367333,20.539147366853605,91.27042234825187,Loamy,Barley
75.86259468006277,10.898174987555254,2024-05-17,Rabi,2.280503325648831,87.84290045424311,37.668176011994134,55.114513812899546,Saline,Groundnut
78.54558674058407,20.350422451794035,2024-06-07,Rabi,5.462577164743685,85.09026363278664,18.971448597238762,23.313193917226183,Loamy,Mustard
79.79336740794402,19.708265609479277,2024-03-31,Rabi,7.386235337572132,23.678049366502297,94.0670086137912,22.63983007897643,Saline,Mustard
86.50331253577637,8.737027415958087,2024-08-19,Zaid,5.493113609674338,39.34931336242411,25.72467151053249,23.598625577332722,Sandy,Lentils
90.41590105783972,30.34292978393621,2024-04-13,Zaid,7.517704242972545,26.416785077122118,25.313082571960223,26.308273346150635,Saline,Maize
81.02250568846677,15.93120336241596,2024-08-10,Zaid,1.584902228258051,96.12912210190522,37.76186712661491,80.03338583954847,Clay,Barley
82.64135179120314,32.874758792744075,2024-04-26,Rabi,5.170587582681077,51.40135246472084,64.24000302164853,51.70558878380712,Loamy,Cotton
92.91516197195936,8.721422871625593,2024-06-27,Zaid,2.652395942455606,85.91517185723117,44.18925869543023,85.70964963115254,Sandy,Soybean
72.03309776238979,28.619477458471668,2023-12-30,Rabi,6.737922548348926,6.938643458850036,7.869333581248938,11.341746798270957,Sandy,Lentils
81.14013712760904,26.93363018221116,2024-08-02,Kharif,6.593944566468779,62.34651397066694,95.55901694162674,43.2757708650764,Saline,Barley
78.11873318389304,36.39732591501627,2024-08-12,Zaid,3.2398464622751106,27.49505628374427,84.57860251256028,73.534448539867,Loamy,Sugarcane
83.34967446474465,33.30577113582246,2024-05-02,Kharif,8.375278942102456,29.137767322171893,47.68337664201066,36.232540941443105,Loamy,Maize
86.92942122960692,12.590110285064863,2024-08-01,Rabi,2.4452507491179203,40.84572420744915,63.24746891265435,55.151715623035166,Saline,Sugarcane
86.32358970233416,25.75443312595143,2024-06-28,Rabi,7.289235868077149,23.684905953748057,60.26234058628967,98.29457448690627,Sandy,Soybean
69.31667074292754,27.878421999520302,2023-12-23,Zaid,6.307786119855924,96.01092102083688,49.31557815327405,79.81010235040632,Saline,Fruits
89.05783955940379,12.13084906621566,2024-09-24,Rabi,9.863166563121268,61.147031968020634,57.916526764427246,4.208768787585737,Saline,Wheat
74.13082068638558,9.677007336524282,2024-05-09,Kharif,8.94510666468274,91.73358434292429,45.00889157465549,50.59376511699553,Sandy,Pulses
93.51407236419232,22.65629462786638,2024-08-22,Rabi,4.444517021977299,11.965629308399993,89.35051919232842,59.98342454909049,Saline,Millets
81.36886367934324,12.761834751940409,2024-09-18,Rabi,1.316146314032995,67.89408798247742,53.410601296674706,34.482515290501425,Saline,Pulses
75.69543569984702,33.42061580421915,2024-06-05,Rabi,2.543157033600098,7.7916781338327805,81.7121412780213,42.282061523289784,Clay,Chickpeas
92.12288554639095,26.619423417527713,2024-06-08,Zaid,8.817366404719278,72.59171678286262,56.82730724403838,85.76659108120757,Sandy,Oilseeds
95.61596793613823,34.64570423041519,2024-03-14,Rabi,4.3778015516984174,66.38585717330209,88.24555440945697,97.89907544220809,Sandy,Wheat
94.71821904137431,20.671924798574203,2023-12-04,Rabi,3.4023580803673434,7.32681018532082,52.665863114467705,13.673655289538633,Sandy,Barley
93.28708591881868,22.30322481647736,2024-02-06,Zaid,6.123376875452385,22.905125365679368,22.696656633045855,69.77071575314352,Clay,Rice
85.8401463634686,25.414274522457273,2024-10-18,Rabi,2.421386129245619,69.66565843611008,22.893934913129875,44.21373497165704,Saline,Fruits
86.45436147171091,14.14006312808828,2024-08-20,Zaid,3.3882877906701916,7.428327469694818,68.938173571599,10.975367729779407,Loamy,Rice
70.18323198213943,27.75644096912444,2024-09-10,Rabi,3.9479051088952355,79.88035300691021,60.595243544370156,52.88331762838953,Clay,Vegetables
68.00651594790645,28.332410548958805,2024-03-06,Rabi,6.320166595344621,20.156243103489302,64.4348346227424,6.035032676790387,Saline,Tobacco
82.11514559211786,28.62370777756505,2023-12-31,Rabi,9.799970087769973,67.69989175890248,46.821876336482774,11.6305942664777,Saline,Chickpeas
90.6580764708987,18.747134019815793,2024-01-16,Kharif,9.931446277400452,29.405758062651532,94.42751808300393,70.11467938424377,Loamy,Lentils
89.2046170383021,36.5709379465376,2024-04-07,Zaid,9.779406826645117,82.12664889360217,77.56246724880825,76.32442616672309,Clay,Groundnut
82.62667505853481,20.948694070449307,2024-03-08,Kharif,7.504297639232456,43.3413898950024,62.96197607130064,24.125890218130486,Saline,Oilseeds
72.44313240757002,33.74251242222461,2024-05-11,Kharif,2.383239335874115,59.269138874972505,14.700199078059606,51.65465380903179,Loamy,Peanuts
72.22279572092394,20.917732152246217,2024-01-09,Zaid,3.3764167235368303,7.195399597025265,5.693179451532549,94.04821860680663,Loamy,Lentils
77.41645326810686,36.99704416797315,2024-03-08,Kharif,7.097014411741969,58.72225532137504,1.2102793296396075,81.63645408474932,Saline,Fruits
71.59044243408316,18.605160350907553,2024-06-11,Rabi,9.24958925593196,32.379298228209116,57.66882940692102,49.06084830836072,Loamy,Cotton
90.95322220194538,29.017335805376803,2024-06-29,Rabi,6.891105445355807,8.426140243367053,85.13888729214136,1.709180570608626,Sandy,Soybean
69.37096472315798,31.787298210371766,2023-11-20,Kharif,9.821545524705357,6.530580480847492,55.14929649306853,81.10650749092606,Loamy,Vegetables
90.31490560689807,26.492417162499134,2024-03-05,Zaid,3.742895150277329,51.84840119995664,59.73833308423914,21.23206260993945,Saline,Millets
93.59125780022514,14.914348952131938,2024-02-24,Rabi,4.328237960154707,26.68364831476262,53.258114387676144,86.78355147394097,Loamy,Chickpeas
80.22227845187824,15.59331239462798,2024-01-28,Kharif,2.548958858960641,82.41829652299892,43.12751522463317,30.128027369230004,Saline,Tobacco
90.68871861529064,32.183126907334966,2024-06-13,Kharif,1.3702923855546618,38.129611482039074,2.2971232252400164,2.3813919633268066,Loamy,Pulses
80.67212250868374,13.17026723141014,2024-04-11,Zaid,5.44358631095622,41.460231951011735,40.58412029675603,23.88023667498098,Loamy,Tobacco
90.52666999389635,26.13045084712064,2024-03-08,Rabi,1.5274280547732915,0.7310712598523117,18.03648942809869,58.57829973145219,Clay,Rice
69.53122715550526,8.39462388827694,2024-08-23,Zaid,7.956813344845317,39.631170474914825,80.01802292425101,74.62811644375054,Sandy,Pulses
87.10826073763721,24.47039826658299,2024-04-11,Zaid,3.2348379838280508,81.58373712957011,70.04593807072581,81.99940502629501,Sandy,Oilseeds
79.7421783525131,33.148664464796276,2024-02-22,Kharif,2.663779789763347,70.6422285399254,65.5700027946363,56.617504909964765,Saline,Oilseeds
75.75166120252149,34.695950230441056,2024-07-16,Rabi,3.3536232690388257,74.34142953192516,84.35866893189284,42.26002566974758,Loamy,Millets
